object,class,source,location,x_dim,y_dim,z_dim,mass,Ixx,Iyy,Izz,cm_x,cm_y,cm_z,q_yaw,q_pitch,q_roll,visual_symmetry,geometric_symmetry,semantic_symmetry,width,length,height,max_x,max_y,max_z,min_x,min_y,min_z
beer_can,object,PnP,models/beer_can,0.078117996,0.078120001,0.154947996,0.1638,6.60E-05,0.000166808,0.000166839,-6.98E-07,-1.42E-06,0.000312663,1.010357217,-1.570752423,-0.170158542,z3,x2|y2|zinf,zinf,0.078117996,0.078120001,0.154947996,0.039058998,0.03906,0.077473998,-0.039058998,-0.03906,-0.077473998
camera,object,PnP,models/camera,0.19686,0.086170003,0.116974004,0.3089,0.000189247,0.000392374,0.000475386,-0.00343414,-0.013051935,-0.000694269,-1.527018563,-0.012900333,-0.058702958,no,no,no,0.19686,0.086170003,0.116974004,0.09843,0.043085001,0.058487002,-0.09843,-0.043085001,-0.058487002
cellphone,object,PnP,models/cellphone,0.066912003,0.144253999,0.021976,0.0863,1.34E-05,4.96E-05,5.93E-05,0.000125825,0.001458297,0.000545335,-0.001383765,-0.004245329,1.57087541,no,z2|x2|y2,no,0.066912003,0.144253999,0.021976,0.033456001,0.072126999,0.010988,-0.033456001,-0.072126999,-0.010988
champagne,object,PnP,models/champagne,0.044006001,0.044007001,0.189260006,0.0616,6.70E-06,4.97E-05,4.97E-05,2.31E-06,9.32E-07,-0.05,0.676442574,-1.570770029,-0.001447684,z2,zinf,zinf,0.044006001,0.044007001,0.189260006,0.022003001,0.022004001,0.094630003,-0.022003001,-0.022003001,-0.094630003
coca_cola,object,PnP,models/coca_cola,0.06613988,0.066139838,0.122425691,0.4222289,0.0005737,0.0005717,0.0002437,-4.40E-05,-3.81E-05,-0.0006201,0.0052015,-0.0026885,0.0167226,zinf,x2|y2|zinf,zinf,0.06714,0.06714,0.11673,0.03357,0.03357,0.058365,-0.03357,-0.03357,-0.058365
coffee_cup,object,PnP,models/coffee_cup,0.131965491,0.13192971,0.057487459,0.6053044,0.000573,0.0005169,0.0007863,4.52E-05,-0.0020149,-0.0061718,-0.0673127,0.0018684,0.0075889,no,zinf,zinf,0.10143,0.078896,0.05049,0.050715,0.039448,0.025245,-0.050715,-0.039448,-0.025245
coke_bottle,object,PnP,models/coke_bottle,0.067872003,0.067864001,0.242587999,0.169,3.71E-05,0.00023512,0.000235131,-5.83E-06,7.69E-07,-0.018698647,1.33303269,-1.570773128,-0.587984326,z3,zinf,zinf,0.067872003,0.067864001,0.242587999,0.033936001,0.033932,0.121293999,-0.033936001,-0.033932,-0.121293999
gold_ball,object,PnP,models/gold_ball,0.087,0.087,0.087,0.0636,4.29E-05,4.29E-05,4.29E-05,0.00E+00,0.00E+00,0,0,0,0,xinf|yinf|zinf,xinf|yinf|zinf,xinf|yinf|zinf,0.087,0.087,0.087,0.0435,0.0435,0.0435,-0.0435,-0.0435,-0.0435
hammer,object,PnP,models/hammer,0.239283994,0.089056,0.149220005,0.2652,0.000194555,0.000299926,0.000396775,-0.06,0,0,1.570780005,0.148486464,-0.004915829,no,no,no,0.239283994,0.089056,0.149220005,0.119641997,0.044528,0.074610002,-0.119641997,-0.044528,-0.074610002
jack_daniels,object,PnP,models/jack_daniels,0.075978,0.075978,0.2430185,0.6080832,0.0022201,0.0022115,0.000293,-0.0001599,0.0004373,-0.022315,0.0008597,0.0029357,-0.6360584,no,z4,z4,0.081,0.081,0.250328,0.0405,0.0405,0.125164,-0.0405,-0.0405,-0.125164
